	action
(11, 10, IRRELEVANT)	OVERRIDE
(11, 10, RELEVANT)	OVERRIDE
(11, 10, ACTIVE)	OVERRIDE
(11, 11, IRRELEVANT)	WAIT
(11, 11, RELEVANT)	MATCH
(11, 11, ACTIVE)	WAIT
(11, 12, IRRELEVANT)	WAIT
(11, 12, RELEVANT)	WAIT
(11, 12, ACTIVE)	WAIT
(11, 13, IRRELEVANT)	ADOPT
(11, 13, RELEVANT)	ADOPT
(11, 13, ACTIVE)	WAIT
(11, 14, IRRELEVANT)	ADOPT
(11, 14, RELEVANT)	ADOPT
(11, 14, ACTIVE)	WAIT
(11, 15, IRRELEVANT)	ADOPT
(11, 15, RELEVANT)	ADOPT
(11, 15, ACTIVE)	WAIT
(11, 16, IRRELEVANT)	ADOPT
(11, 16, RELEVANT)	ADOPT
(11, 16, ACTIVE)	WAIT
(11, 17, IRRELEVANT)	ADOPT
(11, 17, RELEVANT)	ADOPT
(11, 17, ACTIVE)	WAIT
(11, 18, IRRELEVANT)	ADOPT
(11, 18, RELEVANT)	ADOPT
(11, 18, ACTIVE)	WAIT
(11, 19, IRRELEVANT)	ADOPT
(11, 19, RELEVANT)	ADOPT
(11, 19, ACTIVE)	ADOPT
(12, 0, IRRELEVANT)	WAIT
(12, 0, RELEVANT)	WAIT
(12, 0, ACTIVE)	WAIT
(12, 1, IRRELEVANT)	WAIT
(12, 1, RELEVANT)	MATCH
(12, 1, ACTIVE)	WAIT
(12, 2, IRRELEVANT)	WAIT
(12, 2, RELEVANT)	MATCH
(12, 2, ACTIVE)	WAIT
(12, 3, IRRELEVANT)	WAIT
(12, 3, RELEVANT)	MATCH
(12, 3, ACTIVE)	WAIT
(12, 4, IRRELEVANT)	WAIT
(12, 4, RELEVANT)	MATCH
(12, 4, ACTIVE)	WAIT
(12, 5, IRRELEVANT)	WAIT
(12, 5, RELEVANT)	MATCH
(12, 5, ACTIVE)	WAIT
(12, 6, IRRELEVANT)	WAIT
(12, 6, RELEVANT)	MATCH
(12, 6, ACTIVE)	WAIT
(12, 7, IRRELEVANT)	WAIT
(12, 7, RELEVANT)	MATCH
(12, 7, ACTIVE)	WAIT
(12, 8, IRRELEVANT)	WAIT
(12, 8, RELEVANT)	MATCH
(12, 8, ACTIVE)	WAIT
(12, 9, IRRELEVANT)	WAIT
(12, 9, RELEVANT)	MATCH
(12, 9, ACTIVE)	WAIT
(12, 10, IRRELEVANT)	WAIT
(12, 10, RELEVANT)	MATCH
(12, 10, ACTIVE)	WAIT
(12, 11, IRRELEVANT)	OVERRIDE
(12, 11, RELEVANT)	OVERRIDE
(12, 11, ACTIVE)	OVERRIDE
(12, 12, IRRELEVANT)	WAIT
(12, 12, RELEVANT)	MATCH
(12, 12, ACTIVE)	WAIT
(12, 13, IRRELEVANT)	WAIT
(12, 13, RELEVANT)	WAIT
(12, 13, ACTIVE)	WAIT
(12, 14, IRRELEVANT)	ADOPT
(12, 14, RELEVANT)	ADOPT
(12, 14, ACTIVE)	WAIT
(12, 15, IRRELEVANT)	ADOPT
(12, 15, RELEVANT)	ADOPT
(12, 15, ACTIVE)	WAIT
(12, 16, IRRELEVANT)	ADOPT
(12, 16, RELEVANT)	ADOPT
(12, 16, ACTIVE)	WAIT
(12, 17, IRRELEVANT)	ADOPT
(12, 17, RELEVANT)	ADOPT
(12, 17, ACTIVE)	WAIT
(12, 18, IRRELEVANT)	ADOPT
(12, 18, RELEVANT)	ADOPT
(12, 18, ACTIVE)	WAIT
(12, 19, IRRELEVANT)	ADOPT
(12, 19, RELEVANT)	ADOPT
(12, 19, ACTIVE)	ADOPT
(13, 0, IRRELEVANT)	WAIT
(13, 0, RELEVANT)	WAIT
(13, 0, ACTIVE)	WAIT
(13, 1, IRRELEVANT)	WAIT
(13, 1, RELEVANT)	MATCH
(13, 1, ACTIVE)	WAIT
(13, 2, IRRELEVANT)	WAIT
(13, 2, RELEVANT)	MATCH
(13, 2, ACTIVE)	WAIT
(13, 3, IRRELEVANT)	WAIT
(13, 3, RELEVANT)	MATCH
(13, 3, ACTIVE)	WAIT
(13, 4, IRRELEVANT)	WAIT
(13, 4, RELEVANT)	MATCH
(13, 4, ACTIVE)	WAIT
(13, 5, IRRELEVANT)	WAIT
(13, 5, RELEVANT)	MATCH
(13, 5, ACTIVE)	WAIT
(13, 6, IRRELEVANT)	WAIT
(13, 6, RELEVANT)	MATCH
(13, 6, ACTIVE)	WAIT
(13, 7, IRRELEVANT)	WAIT
(13, 7, RELEVANT)	MATCH
(13, 7, ACTIVE)	WAIT
(13, 8, IRRELEVANT)	WAIT
(13, 8, RELEVANT)	MATCH
(13, 8, ACTIVE)	WAIT
(13, 9, IRRELEVANT)	WAIT
(13, 9, RELEVANT)	MATCH
(13, 9, ACTIVE)	WAIT
(13, 10, IRRELEVANT)	WAIT
(13, 10, RELEVANT)	MATCH
(13, 10, ACTIVE)	WAIT
(13, 11, IRRELEVANT)	WAIT
(13, 11, RELEVANT)	MATCH
(13, 11, ACTIVE)	WAIT
(13, 12, IRRELEVANT)	OVERRIDE
(13, 12, RELEVANT)	OVERRIDE
(13, 12, ACTIVE)	OVERRIDE
(13, 13, IRRELEVANT)	WAIT
(13, 13, RELEVANT)	MATCH
(13, 13, ACTIVE)	WAIT
(13, 14, IRRELEVANT)	WAIT
(13, 14, RELEVANT)	WAIT
(13, 14, ACTIVE)	WAIT
(13, 15, IRRELEVANT)	ADOPT
(13, 15, RELEVANT)	ADOPT
(13, 15, ACTIVE)	WAIT
(13, 16, IRRELEVANT)	ADOPT
(13, 16, RELEVANT)	ADOPT
(13, 16, ACTIVE)	WAIT
(13, 17, IRRELEVANT)	ADOPT
(13, 17, RELEVANT)	ADOPT
(13, 17, ACTIVE)	WAIT
(13, 18, IRRELEVANT)	ADOPT
(13, 18, RELEVANT)	ADOPT
(13, 18, ACTIVE)	WAIT
(13, 19, IRRELEVANT)	ADOPT
(13, 19, RELEVANT)	ADOPT
(13, 19, ACTIVE)	ADOPT
(14, 0, IRRELEVANT)	WAIT
(14, 0, RELEVANT)	WAIT
(14, 0, ACTIVE)	WAIT
(14, 1, IRRELEVANT)	WAIT
(14, 1, RELEVANT)	MATCH
(14, 1, ACTIVE)	WAIT
(14, 2, IRRELEVANT)	WAIT
(14, 2, RELEVANT)	MATCH
(14, 2, ACTIVE)	WAIT
(14, 3, IRRELEVANT)	WAIT
(14, 3, RELEVANT)	MATCH
(14, 3, ACTIVE)	WAIT
(14, 4, IRRELEVANT)	WAIT
(14, 4, RELEVANT)	MATCH
(14, 4, ACTIVE)	WAIT
(14, 5, IRRELEVANT)	WAIT
(14, 5, RELEVANT)	MATCH
(14, 5, ACTIVE)	WAIT
(14, 6, IRRELEVANT)	WAIT
(14, 6, RELEVANT)	MATCH
(14, 6, ACTIVE)	WAIT
(14, 7, IRRELEVANT)	WAIT
(14, 7, RELEVANT)	MATCH
(14, 7, ACTIVE)	WAIT
(14, 8, IRRELEVANT)	WAIT
(14, 8, RELEVANT)	MATCH
(14, 8, ACTIVE)	WAIT
(14, 9, IRRELEVANT)	WAIT
(14, 9, RELEVANT)	MATCH
(14, 9, ACTIVE)	WAIT
(14, 10, IRRELEVANT)	WAIT
(14, 10, RELEVANT)	MATCH
(14, 10, ACTIVE)	WAIT
(14, 11, IRRELEVANT)	WAIT
(14, 11, RELEVANT)	MATCH
(14, 11, ACTIVE)	WAIT
(14, 12, IRRELEVANT)	WAIT
(14, 12, RELEVANT)	MATCH
(14, 12, ACTIVE)	WAIT
(14, 13, IRRELEVANT)	OVERRIDE
(14, 13, RELEVANT)	OVERRIDE
(14, 13, ACTIVE)	OVERRIDE
(14, 14, IRRELEVANT)	WAIT
(14, 14, RELEVANT)	MATCH
(14, 14, ACTIVE)	WAIT
(14, 15, IRRELEVANT)	WAIT
(14, 15, RELEVANT)	WAIT
(14, 15, ACTIVE)	WAIT
(14, 16, IRRELEVANT)	WAIT
(14, 16, RELEVANT)	WAIT
(14, 16, ACTIVE)	WAIT
(14, 17, IRRELEVANT)	ADOPT
(14, 17, RELEVANT)	ADOPT
(14, 17, ACTIVE)	WAIT
(14, 18, IRRELEVANT)	ADOPT
(14, 18, RELEVANT)	ADOPT
(14, 18, ACTIVE)	WAIT
(14, 19, IRRELEVANT)	ADOPT
(14, 19, RELEVANT)	ADOPT
(14, 19, ACTIVE)	ADOPT
(15, 0, IRRELEVANT)	WAIT
(15, 0, RELEVANT)	WAIT
(15, 0, ACTIVE)	WAIT
(15, 1, IRRELEVANT)	WAIT
(15, 1, RELEVANT)	MATCH
(15, 1, ACTIVE)	WAIT
(15, 2, IRRELEVANT)	WAIT
(15, 2, RELEVANT)	MATCH
(15, 2, ACTIVE)	WAIT
(15, 3, IRRELEVANT)	WAIT
(15, 3, RELEVANT)	MATCH
(15, 3, ACTIVE)	WAIT
(15, 4, IRRELEVANT)	WAIT
(15, 4, RELEVANT)	MATCH
(15, 4, ACTIVE)	WAIT
(15, 5, IRRELEVANT)	WAIT
(15, 5, RELEVANT)	MATCH
(15, 5, ACTIVE)	WAIT
(15, 6, IRRELEVANT)	WAIT
(15, 6, RELEVANT)	MATCH
(15, 6, ACTIVE)	WAIT
(15, 7, IRRELEVANT)	WAIT
(15, 7, RELEVANT)	MATCH
(15, 7, ACTIVE)	WAIT
(15, 8, IRRELEVANT)	WAIT
(15, 8, RELEVANT)	MATCH
(15, 8, ACTIVE)	WAIT
(15, 9, IRRELEVANT)	WAIT
(15, 9, RELEVANT)	MATCH
(15, 9, ACTIVE)	WAIT
(15, 10, IRRELEVANT)	WAIT
(15, 10, RELEVANT)	MATCH
(15, 10, ACTIVE)	WAIT
(15, 11, IRRELEVANT)	WAIT
(15, 11, RELEVANT)	MATCH
(15, 11, ACTIVE)	WAIT
(15, 12, IRRELEVANT)	WAIT
(15, 12, RELEVANT)	MATCH
(15, 12, ACTIVE)	WAIT
(15, 13, IRRELEVANT)	WAIT
(15, 13, RELEVANT)	MATCH
(15, 13, ACTIVE)	WAIT
(15, 14, IRRELEVANT)	OVERRIDE
(15, 14, RELEVANT)	OVERRIDE
(15, 14, ACTIVE)	OVERRIDE
(15, 15, IRRELEVANT)	WAIT
(15, 15, RELEVANT)	MATCH
(15, 15, ACTIVE)	WAIT
(15, 16, IRRELEVANT)	WAIT
(15, 16, RELEVANT)	WAIT
(15, 16, ACTIVE)	WAIT
(15, 17, IRRELEVANT)	ADOPT
(15, 17, RELEVANT)	ADOPT
(15, 17, ACTIVE)	WAIT
(15, 18, IRRELEVANT)	ADOPT
(15, 18, RELEVANT)	ADOPT
(15, 18, ACTIVE)	WAIT
(15, 19, IRRELEVANT)	ADOPT
(15, 19, RELEVANT)	ADOPT
(15, 19, ACTIVE)	ADOPT
(16, 0, IRRELEVANT)	WAIT
(16, 0, RELEVANT)	WAIT
(16, 0, ACTIVE)	WAIT
(16, 1, IRRELEVANT)	WAIT
(16, 1, RELEVANT)	MATCH
(16, 1, ACTIVE)	WAIT
(16, 2, IRRELEVANT)	WAIT
(16, 2, RELEVANT)	MATCH
(16, 2, ACTIVE)	WAIT
(16, 3, IRRELEVANT)	WAIT
(16, 3, RELEVANT)	MATCH
(16, 3, ACTIVE)	WAIT
(16, 4, IRRELEVANT)	WAIT
(16, 4, RELEVANT)	MATCH
(16, 4, ACTIVE)	WAIT
(16, 5, IRRELEVANT)	WAIT
(16, 5, RELEVANT)	MATCH
(16, 5, ACTIVE)	WAIT
(16, 6, IRRELEVANT)	WAIT
(16, 6, RELEVANT)	MATCH
(16, 6, ACTIVE)	WAIT
(16, 7, IRRELEVANT)	WAIT
(16, 7, RELEVANT)	MATCH
(16, 7, ACTIVE)	WAIT
(16, 8, IRRELEVANT)	WAIT
(16, 8, RELEVANT)	MATCH
(16, 8, ACTIVE)	WAIT
(16, 9, IRRELEVANT)	WAIT
(16, 9, RELEVANT)	MATCH
(16, 9, ACTIVE)	WAIT
(16, 10, IRRELEVANT)	WAIT
(16, 10, RELEVANT)	MATCH
(16, 10, ACTIVE)	WAIT
(16, 11, IRRELEVANT)	WAIT
(16, 11, RELEVANT)	MATCH
(16, 11, ACTIVE)	WAIT
(16, 12, IRRELEVANT)	WAIT
(16, 12, RELEVANT)	MATCH
(16, 12, ACTIVE)	WAIT
(16, 13, IRRELEVANT)	WAIT
(16, 13, RELEVANT)	MATCH
(16, 13, ACTIVE)	WAIT
(16, 14, IRRELEVANT)	WAIT
(16, 14, RELEVANT)	MATCH
(16, 14, ACTIVE)	WAIT
(16, 15, IRRELEVANT)	OVERRIDE
(16, 15, RELEVANT)	OVERRIDE
(16, 15, ACTIVE)	OVERRIDE
(16, 16, IRRELEVANT)	WAIT
(16, 16, RELEVANT)	MATCH
(16, 16, ACTIVE)	WAIT
(16, 17, IRRELEVANT)	WAIT
(16, 17, RELEVANT)	WAIT
(16, 17, ACTIVE)	WAIT
(16, 18, IRRELEVANT)	ADOPT
(16, 18, RELEVANT)	ADOPT
(16, 18, ACTIVE)	WAIT
(16, 19, IRRELEVANT)	ADOPT
(16, 19, RELEVANT)	ADOPT
(16, 19, ACTIVE)	ADOPT
(17, 0, IRRELEVANT)	WAIT
(17, 0, RELEVANT)	WAIT
(17, 0, ACTIVE)	WAIT
(17, 1, IRRELEVANT)	WAIT
(17, 1, RELEVANT)	MATCH
(17, 1, ACTIVE)	WAIT
(17, 2, IRRELEVANT)	WAIT
(17, 2, RELEVANT)	MATCH
(17, 2, ACTIVE)	WAIT
(17, 3, IRRELEVANT)	WAIT
(17, 3, RELEVANT)	MATCH
(17, 3, ACTIVE)	WAIT
(17, 4, IRRELEVANT)	WAIT
(17, 4, RELEVANT)	MATCH
(17, 4, ACTIVE)	WAIT
(17, 5, IRRELEVANT)	WAIT
(17, 5, RELEVANT)	MATCH
(17, 5, ACTIVE)	WAIT
(17, 6, IRRELEVANT)	WAIT
(17, 6, RELEVANT)	MATCH
(17, 6, ACTIVE)	WAIT
(17, 7, IRRELEVANT)	WAIT
(17, 7, RELEVANT)	MATCH
(17, 7, ACTIVE)	WAIT
(17, 8, IRRELEVANT)	WAIT
(17, 8, RELEVANT)	MATCH
(17, 8, ACTIVE)	WAIT
(17, 9, IRRELEVANT)	WAIT
(17, 9, RELEVANT)	MATCH
(17, 9, ACTIVE)	WAIT
(17, 10, IRRELEVANT)	WAIT
(17, 10, RELEVANT)	MATCH
(17, 10, ACTIVE)	WAIT
(17, 11, IRRELEVANT)	WAIT
(17, 11, RELEVANT)	MATCH
(17, 11, ACTIVE)	WAIT
(17, 12, IRRELEVANT)	WAIT
(17, 12, RELEVANT)	MATCH
(17, 12, ACTIVE)	WAIT
(17, 13, IRRELEVANT)	WAIT
(17, 13, RELEVANT)	MATCH
(17, 13, ACTIVE)	WAIT
(17, 14, IRRELEVANT)	WAIT
(17, 14, RELEVANT)	MATCH
(17, 14, ACTIVE)	WAIT
(17, 15, IRRELEVANT)	WAIT
(17, 15, RELEVANT)	WAIT
(17, 15, ACTIVE)	WAIT
(17, 16, IRRELEVANT)	OVERRIDE
(17, 16, RELEVANT)	OVERRIDE
(17, 16, ACTIVE)	OVERRIDE
(17, 17, IRRELEVANT)	WAIT
(17, 17, RELEVANT)	MATCH
(17, 17, ACTIVE)	WAIT
(17, 18, IRRELEVANT)	ADOPT
(17, 18, RELEVANT)	ADOPT
(17, 18, ACTIVE)	WAIT
(17, 19, IRRELEVANT)	ADOPT
(17, 19, RELEVANT)	ADOPT
(17, 19, ACTIVE)	ADOPT
(18, 0, IRRELEVANT)	OVERRIDE
(18, 0, RELEVANT)	OVERRIDE
(18, 0, ACTIVE)	OVERRIDE
(18, 1, IRRELEVANT)	OVERRIDE
(18, 1, RELEVANT)	OVERRIDE
(18, 1, ACTIVE)	OVERRIDE
(18, 2, IRRELEVANT)	OVERRIDE
(18, 2, RELEVANT)	OVERRIDE
(18, 2, ACTIVE)	OVERRIDE
(18, 3, IRRELEVANT)	OVERRIDE
(18, 3, RELEVANT)	OVERRIDE
(18, 3, ACTIVE)	OVERRIDE
(18, 4, IRRELEVANT)	OVERRIDE
(18, 4, RELEVANT)	OVERRIDE
(18, 4, ACTIVE)	OVERRIDE
(18, 5, IRRELEVANT)	OVERRIDE
(18, 5, RELEVANT)	OVERRIDE
(18, 5, ACTIVE)	OVERRIDE
(18, 6, IRRELEVANT)	OVERRIDE
(18, 6, RELEVANT)	OVERRIDE
(18, 6, ACTIVE)	OVERRIDE
(18, 7, IRRELEVANT)	OVERRIDE
(18, 7, RELEVANT)	OVERRIDE
(18, 7, ACTIVE)	OVERRIDE
(18, 8, IRRELEVANT)	OVERRIDE
(18, 8, RELEVANT)	OVERRIDE
(18, 8, ACTIVE)	OVERRIDE
(18, 9, IRRELEVANT)	OVERRIDE
(18, 9, RELEVANT)	OVERRIDE
(18, 9, ACTIVE)	OVERRIDE
(18, 10, IRRELEVANT)	OVERRIDE
(18, 10, RELEVANT)	OVERRIDE
(18, 10, ACTIVE)	OVERRIDE
(18, 11, IRRELEVANT)	OVERRIDE
(18, 11, RELEVANT)	OVERRIDE
(18, 11, ACTIVE)	OVERRIDE
(18, 12, IRRELEVANT)	OVERRIDE
(18, 12, RELEVANT)	OVERRIDE
(18, 12, ACTIVE)	OVERRIDE
(18, 13, IRRELEVANT)	OVERRIDE
(18, 13, RELEVANT)	OVERRIDE
(18, 13, ACTIVE)	OVERRIDE
(18, 14, IRRELEVANT)	OVERRIDE
(18, 14, RELEVANT)	OVERRIDE
(18, 14, ACTIVE)	OVERRIDE
(18, 15, IRRELEVANT)	OVERRIDE
(18, 15, RELEVANT)	OVERRIDE
(18, 15, ACTIVE)	OVERRIDE
(18, 16, IRRELEVANT)	OVERRIDE
(18, 16, RELEVANT)	OVERRIDE
(18, 16, ACTIVE)	OVERRIDE
(18, 17, IRRELEVANT)	OVERRIDE
(18, 17, RELEVANT)	OVERRIDE
(18, 17, ACTIVE)	OVERRIDE
(18, 18, IRRELEVANT)	ADOPT
(18, 18, RELEVANT)	MATCH
(18, 18, ACTIVE)	WAIT
(18, 19, IRRELEVANT)	ADOPT
(18, 19, RELEVANT)	ADOPT
(18, 19, ACTIVE)	ADOPT
(19, 0, IRRELEVANT)	ADOPT
(19, 0, RELEVANT)	ADOPT
(19, 0, ACTIVE)	ADOPT
(19, 1, IRRELEVANT)	ADOPT
(19, 1, RELEVANT)	ADOPT
(19, 1, ACTIVE)	ADOPT
(19, 2, IRRELEVANT)	ADOPT
(19, 2, RELEVANT)	ADOPT
(19, 2, ACTIVE)	ADOPT
(19, 3, IRRELEVANT)	ADOPT
(19, 3, RELEVANT)	ADOPT
(19, 3, ACTIVE)	ADOPT
(19, 4, IRRELEVANT)	ADOPT
(19, 4, RELEVANT)	ADOPT
(19, 4, ACTIVE)	ADOPT
(19, 5, IRRELEVANT)	ADOPT
(19, 5, RELEVANT)	ADOPT
(19, 5, ACTIVE)	ADOPT
(19, 6, IRRELEVANT)	ADOPT
(19, 6, RELEVANT)	ADOPT
(19, 6, ACTIVE)	ADOPT
(19, 7, IRRELEVANT)	ADOPT
(19, 7, RELEVANT)	ADOPT
(19, 7, ACTIVE)	ADOPT
(19, 8, IRRELEVANT)	ADOPT
(19, 8, RELEVANT)	ADOPT
(19, 8, ACTIVE)	ADOPT
(19, 9, IRRELEVANT)	ADOPT
(19, 9, RELEVANT)	ADOPT
(19, 9, ACTIVE)	ADOPT
(19, 10, IRRELEVANT)	ADOPT
(19, 10, RELEVANT)	ADOPT
(19, 10, ACTIVE)	ADOPT
(19, 11, IRRELEVANT)	ADOPT
(19, 11, RELEVANT)	ADOPT
(19, 11, ACTIVE)	ADOPT
(19, 12, IRRELEVANT)	ADOPT
(19, 12, RELEVANT)	ADOPT
(19, 12, ACTIVE)	ADOPT
(19, 13, IRRELEVANT)	ADOPT
(19, 13, RELEVANT)	ADOPT
(19, 13, ACTIVE)	ADOPT
(19, 14, IRRELEVANT)	ADOPT
(19, 14, RELEVANT)	ADOPT
(19, 14, ACTIVE)	ADOPT
(19, 15, IRRELEVANT)	ADOPT
(19, 15, RELEVANT)	ADOPT
(19, 15, ACTIVE)	ADOPT
(19, 16, IRRELEVANT)	ADOPT
(19, 16, RELEVANT)	ADOPT
(19, 16, ACTIVE)	ADOPT
(19, 17, IRRELEVANT)	ADOPT
(19, 17, RELEVANT)	ADOPT
(19, 17, ACTIVE)	ADOPT
(19, 18, IRRELEVANT)	ADOPT
(19, 18, RELEVANT)	ADOPT
(19, 18, ACTIVE)	ADOPT
(19, 19, IRRELEVANT)	ADOPT
(19, 19, RELEVANT)	ADOPT
(19, 19, ACTIVE)	ADOPT
