	action
(2, 12, IRRELEVANT)	ADOPT
(2, 12, RELEVANT)	ADOPT
(2, 12, ACTIVE)	WAIT
(2, 13, IRRELEVANT)	ADOPT
(2, 13, RELEVANT)	ADOPT
(2, 13, ACTIVE)	WAIT
(2, 14, IRRELEVANT)	ADOPT
(2, 14, RELEVANT)	ADOPT
(2, 14, ACTIVE)	WAIT
(2, 15, IRRELEVANT)	ADOPT
(2, 15, RELEVANT)	ADOPT
(2, 15, ACTIVE)	WAIT
(2, 16, IRRELEVANT)	ADOPT
(2, 16, RELEVANT)	ADOPT
(2, 16, ACTIVE)	WAIT
(2, 17, IRRELEVANT)	ADOPT
(2, 17, RELEVANT)	ADOPT
(2, 17, ACTIVE)	WAIT
(2, 18, IRRELEVANT)	ADOPT
(2, 18, RELEVANT)	ADOPT
(2, 18, ACTIVE)	WAIT
(2, 19, IRRELEVANT)	ADOPT
(2, 19, RELEVANT)	ADOPT
(2, 19, ACTIVE)	ADOPT
(3, 0, IRRELEVANT)	WAIT
(3, 0, RELEVANT)	WAIT
(3, 0, ACTIVE)	WAIT
(3, 1, IRRELEVANT)	WAIT
(3, 1, RELEVANT)	MATCH
(3, 1, ACTIVE)	WAIT
(3, 2, IRRELEVANT)	OVERRIDE
(3, 2, RELEVANT)	OVERRIDE
(3, 2, ACTIVE)	OVERRIDE
(3, 3, IRRELEVANT)	WAIT
(3, 3, RELEVANT)	MATCH
(3, 3, ACTIVE)	WAIT
(3, 4, IRRELEVANT)	WAIT
(3, 4, RELEVANT)	WAIT
(3, 4, ACTIVE)	WAIT
(3, 5, IRRELEVANT)	ADOPT
(3, 5, RELEVANT)	ADOPT
(3, 5, ACTIVE)	WAIT
(3, 6, IRRELEVANT)	ADOPT
(3, 6, RELEVANT)	ADOPT
(3, 6, ACTIVE)	WAIT
(3, 7, IRRELEVANT)	ADOPT
(3, 7, RELEVANT)	ADOPT
(3, 7, ACTIVE)	WAIT
(3, 8, IRRELEVANT)	ADOPT
(3, 8, RELEVANT)	ADOPT
(3, 8, ACTIVE)	WAIT
(3, 9, IRRELEVANT)	ADOPT
(3, 9, RELEVANT)	ADOPT
(3, 9, ACTIVE)	WAIT
(3, 10, IRRELEVANT)	ADOPT
(3, 10, RELEVANT)	ADOPT
(3, 10, ACTIVE)	WAIT
(3, 11, IRRELEVANT)	ADOPT
(3, 11, RELEVANT)	ADOPT
(3, 11, ACTIVE)	WAIT
(3, 12, IRRELEVANT)	ADOPT
(3, 12, RELEVANT)	ADOPT
(3, 12, ACTIVE)	WAIT
(3, 13, IRRELEVANT)	ADOPT
(3, 13, RELEVANT)	ADOPT
(3, 13, ACTIVE)	WAIT
(3, 14, IRRELEVANT)	ADOPT
(3, 14, RELEVANT)	ADOPT
(3, 14, ACTIVE)	WAIT
(3, 15, IRRELEVANT)	ADOPT
(3, 15, RELEVANT)	ADOPT
(3, 15, ACTIVE)	WAIT
(3, 16, IRRELEVANT)	ADOPT
(3, 16, RELEVANT)	ADOPT
(3, 16, ACTIVE)	WAIT
(3, 17, IRRELEVANT)	ADOPT
(3, 17, RELEVANT)	ADOPT
(3, 17, ACTIVE)	WAIT
(3, 18, IRRELEVANT)	ADOPT
(3, 18, RELEVANT)	ADOPT
(3, 18, ACTIVE)	WAIT
(3, 19, IRRELEVANT)	ADOPT
(3, 19, RELEVANT)	ADOPT
(3, 19, ACTIVE)	ADOPT
(4, 0, IRRELEVANT)	WAIT
(4, 0, RELEVANT)	WAIT
(4, 0, ACTIVE)	WAIT
(4, 1, IRRELEVANT)	WAIT
(4, 1, RELEVANT)	MATCH
(4, 1, ACTIVE)	WAIT
(4, 2, IRRELEVANT)	WAIT
(4, 2, RELEVANT)	MATCH
(4, 2, ACTIVE)	WAIT
(4, 3, IRRELEVANT)	OVERRIDE
(4, 3, RELEVANT)	OVERRIDE
(4, 3, ACTIVE)	OVERRIDE
(4, 4, IRRELEVANT)	WAIT
(4, 4, RELEVANT)	MATCH
(4, 4, ACTIVE)	WAIT
(4, 5, IRRELEVANT)	WAIT
(4, 5, RELEVANT)	WAIT
(4, 5, ACTIVE)	WAIT
(4, 6, IRRELEVANT)	ADOPT
(4, 6, RELEVANT)	ADOPT
(4, 6, ACTIVE)	WAIT
(4, 7, IRRELEVANT)	ADOPT
(4, 7, RELEVANT)	ADOPT
(4, 7, ACTIVE)	WAIT
(4, 8, IRRELEVANT)	ADOPT
(4, 8, RELEVANT)	ADOPT
(4, 8, ACTIVE)	WAIT
(4, 9, IRRELEVANT)	ADOPT
(4, 9, RELEVANT)	ADOPT
(4, 9, ACTIVE)	WAIT
(4, 10, IRRELEVANT)	ADOPT
(4, 10, RELEVANT)	ADOPT
(4, 10, ACTIVE)	WAIT
(4, 11, IRRELEVANT)	ADOPT
(4, 11, RELEVANT)	ADOPT
(4, 11, ACTIVE)	WAIT
(4, 12, IRRELEVANT)	ADOPT
(4, 12, RELEVANT)	ADOPT
(4, 12, ACTIVE)	WAIT
(4, 13, IRRELEVANT)	ADOPT
(4, 13, RELEVANT)	ADOPT
(4, 13, ACTIVE)	WAIT
(4, 14, IRRELEVANT)	ADOPT
(4, 14, RELEVANT)	ADOPT
(4, 14, ACTIVE)	WAIT
(4, 15, IRRELEVANT)	ADOPT
(4, 15, RELEVANT)	ADOPT
(4, 15, ACTIVE)	WAIT
(4, 16, IRRELEVANT)	ADOPT
(4, 16, RELEVANT)	ADOPT
(4, 16, ACTIVE)	WAIT
(4, 17, IRRELEVANT)	ADOPT
(4, 17, RELEVANT)	ADOPT
(4, 17, ACTIVE)	WAIT
(4, 18, IRRELEVANT)	ADOPT
(4, 18, RELEVANT)	ADOPT
(4, 18, ACTIVE)	WAIT
(4, 19, IRRELEVANT)	ADOPT
(4, 19, RELEVANT)	ADOPT
(4, 19, ACTIVE)	ADOPT
(5, 0, IRRELEVANT)	WAIT
(5, 0, RELEVANT)	WAIT
(5, 0, ACTIVE)	WAIT
(5, 1, IRRELEVANT)	WAIT
(5, 1, RELEVANT)	MATCH
(5, 1, ACTIVE)	WAIT
(5, 2, IRRELEVANT)	WAIT
(5, 2, RELEVANT)	MATCH
(5, 2, ACTIVE)	WAIT
(5, 3, IRRELEVANT)	WAIT
(5, 3, RELEVANT)	MATCH
(5, 3, ACTIVE)	WAIT
(5, 4, IRRELEVANT)	OVERRIDE
(5, 4, RELEVANT)	OVERRIDE
(5, 4, ACTIVE)	OVERRIDE
(5, 5, IRRELEVANT)	WAIT
(5, 5, RELEVANT)	MATCH
(5, 5, ACTIVE)	WAIT
(5, 6, IRRELEVANT)	WAIT
(5, 6, RELEVANT)	WAIT
(5, 6, ACTIVE)	WAIT
(5, 7, IRRELEVANT)	ADOPT
(5, 7, RELEVANT)	ADOPT
(5, 7, ACTIVE)	WAIT
(5, 8, IRRELEVANT)	ADOPT
(5, 8, RELEVANT)	ADOPT
(5, 8, ACTIVE)	WAIT
(5, 9, IRRELEVANT)	ADOPT
(5, 9, RELEVANT)	ADOPT
(5, 9, ACTIVE)	WAIT
(5, 10, IRRELEVANT)	ADOPT
(5, 10, RELEVANT)	ADOPT
(5, 10, ACTIVE)	WAIT
(5, 11, IRRELEVANT)	ADOPT
(5, 11, RELEVANT)	ADOPT
(5, 11, ACTIVE)	WAIT
(5, 12, IRRELEVANT)	ADOPT
(5, 12, RELEVANT)	ADOPT
(5, 12, ACTIVE)	WAIT
(5, 13, IRRELEVANT)	ADOPT
(5, 13, RELEVANT)	ADOPT
(5, 13, ACTIVE)	WAIT
(5, 14, IRRELEVANT)	ADOPT
(5, 14, RELEVANT)	ADOPT
(5, 14, ACTIVE)	WAIT
(5, 15, IRRELEVANT)	ADOPT
(5, 15, RELEVANT)	ADOPT
(5, 15, ACTIVE)	WAIT
(5, 16, IRRELEVANT)	ADOPT
(5, 16, RELEVANT)	ADOPT
(5, 16, ACTIVE)	WAIT
(5, 17, IRRELEVANT)	ADOPT
(5, 17, RELEVANT)	ADOPT
(5, 17, ACTIVE)	WAIT
(5, 18, IRRELEVANT)	ADOPT
(5, 18, RELEVANT)	ADOPT
(5, 18, ACTIVE)	WAIT
(5, 19, IRRELEVANT)	ADOPT
(5, 19, RELEVANT)	ADOPT
(5, 19, ACTIVE)	ADOPT
(6, 0, IRRELEVANT)	WAIT
(6, 0, RELEVANT)	WAIT
(6, 0, ACTIVE)	WAIT
(6, 1, IRRELEVANT)	WAIT
(6, 1, RELEVANT)	MATCH
(6, 1, ACTIVE)	WAIT
(6, 2, IRRELEVANT)	WAIT
(6, 2, RELEVANT)	MATCH
(6, 2, ACTIVE)	WAIT
(6, 3, IRRELEVANT)	WAIT
(6, 3, RELEVANT)	MATCH
(6, 3, ACTIVE)	WAIT
(6, 4, IRRELEVANT)	WAIT
(6, 4, RELEVANT)	MATCH
(6, 4, ACTIVE)	WAIT
(6, 5, IRRELEVANT)	OVERRIDE
(6, 5, RELEVANT)	OVERRIDE
(6, 5, ACTIVE)	OVERRIDE
(6, 6, IRRELEVANT)	WAIT
(6, 6, RELEVANT)	MATCH
(6, 6, ACTIVE)	WAIT
(6, 7, IRRELEVANT)	WAIT
(6, 7, RELEVANT)	WAIT
(6, 7, ACTIVE)	WAIT
(6, 8, IRRELEVANT)	ADOPT
(6, 8, RELEVANT)	ADOPT
(6, 8, ACTIVE)	WAIT
(6, 9, IRRELEVANT)	ADOPT
(6, 9, RELEVANT)	ADOPT
(6, 9, ACTIVE)	WAIT
(6, 10, IRRELEVANT)	ADOPT
(6, 10, RELEVANT)	ADOPT
(6, 10, ACTIVE)	WAIT
(6, 11, IRRELEVANT)	ADOPT
(6, 11, RELEVANT)	ADOPT
(6, 11, ACTIVE)	WAIT
(6, 12, IRRELEVANT)	ADOPT
(6, 12, RELEVANT)	ADOPT
(6, 12, ACTIVE)	WAIT
(6, 13, IRRELEVANT)	ADOPT
(6, 13, RELEVANT)	ADOPT
(6, 13, ACTIVE)	WAIT
(6, 14, IRRELEVANT)	ADOPT
(6, 14, RELEVANT)	ADOPT
(6, 14, ACTIVE)	WAIT
(6, 15, IRRELEVANT)	ADOPT
(6, 15, RELEVANT)	ADOPT
(6, 15, ACTIVE)	WAIT
(6, 16, IRRELEVANT)	ADOPT
(6, 16, RELEVANT)	ADOPT
(6, 16, ACTIVE)	WAIT
(6, 17, IRRELEVANT)	ADOPT
(6, 17, RELEVANT)	ADOPT
(6, 17, ACTIVE)	WAIT
(6, 18, IRRELEVANT)	ADOPT
(6, 18, RELEVANT)	ADOPT
(6, 18, ACTIVE)	WAIT
(6, 19, IRRELEVANT)	ADOPT
(6, 19, RELEVANT)	ADOPT
(6, 19, ACTIVE)	ADOPT
(7, 0, IRRELEVANT)	WAIT
(7, 0, RELEVANT)	WAIT
(7, 0, ACTIVE)	WAIT
(7, 1, IRRELEVANT)	WAIT
(7, 1, RELEVANT)	MATCH
(7, 1, ACTIVE)	WAIT
(7, 2, IRRELEVANT)	WAIT
(7, 2, RELEVANT)	MATCH
(7, 2, ACTIVE)	WAIT
(7, 3, IRRELEVANT)	WAIT
(7, 3, RELEVANT)	MATCH
(7, 3, ACTIVE)	WAIT
(7, 4, IRRELEVANT)	WAIT
(7, 4, RELEVANT)	MATCH
(7, 4, ACTIVE)	WAIT
(7, 5, IRRELEVANT)	WAIT
(7, 5, RELEVANT)	MATCH
(7, 5, ACTIVE)	WAIT
(7, 6, IRRELEVANT)	OVERRIDE
(7, 6, RELEVANT)	OVERRIDE
(7, 6, ACTIVE)	OVERRIDE
(7, 7, IRRELEVANT)	WAIT
(7, 7, RELEVANT)	MATCH
(7, 7, ACTIVE)	WAIT
(7, 8, IRRELEVANT)	WAIT
(7, 8, RELEVANT)	WAIT
(7, 8, ACTIVE)	WAIT
(7, 9, IRRELEVANT)	ADOPT
(7, 9, RELEVANT)	ADOPT
(7, 9, ACTIVE)	WAIT
(7, 10, IRRELEVANT)	ADOPT
(7, 10, RELEVANT)	ADOPT
(7, 10, ACTIVE)	WAIT
(7, 11, IRRELEVANT)	ADOPT
(7, 11, RELEVANT)	ADOPT
(7, 11, ACTIVE)	WAIT
(7, 12, IRRELEVANT)	ADOPT
(7, 12, RELEVANT)	ADOPT
(7, 12, ACTIVE)	WAIT
(7, 13, IRRELEVANT)	ADOPT
(7, 13, RELEVANT)	ADOPT
(7, 13, ACTIVE)	WAIT
(7, 14, IRRELEVANT)	ADOPT
(7, 14, RELEVANT)	ADOPT
(7, 14, ACTIVE)	WAIT
(7, 15, IRRELEVANT)	ADOPT
(7, 15, RELEVANT)	ADOPT
(7, 15, ACTIVE)	WAIT
(7, 16, IRRELEVANT)	ADOPT
(7, 16, RELEVANT)	ADOPT
(7, 16, ACTIVE)	WAIT
(7, 17, IRRELEVANT)	ADOPT
(7, 17, RELEVANT)	ADOPT
(7, 17, ACTIVE)	WAIT
(7, 18, IRRELEVANT)	ADOPT
